Anno,Identificador PAA,Entidad,NIT,Localización,DescripcionUbicacion,Mision/Vision,Perspectiva Estrategica,Presupuesto Menor Cuantia,Presupuesto Minima Cuantia,Presupuesto Global,Fecha Primera Publicación,Mes Proyectado,Identificador Item,Categoria Principal,Precio Base,Ultima Fecha Modificacion,Version,Referencia Contrato,Referencia Operacion,Fecha Publicacion,Modalidad,Contacto,UNSPSC - Codigo Producto,UNSPSC - Nombre Producto,UNSPSC - Codigo Clase,UNSPSC - Nombre Clase,UNSPSC - Codigo Familia,UNSPSC - Nombre Familia
2018,CO1.APP.353312,INSTITUTO NACIONAL DE VIAS,800215807,CO-DC-11001,Distrito Capital de Bogotá,"La misión del INVIAS, es ejecutar políticas, estrategias, planes, programas y proyectos de infraestructura de la Red Vial carretera, férrea, fluvial y marítima, de acuerdo con los lineamientos dados por el Gobierno Nacional. Para el 2030 el INVIAS será reconocido por su liderazgo en la ejecución de infraestructura vial, con procesos de innovación tecnológica y un enfoque descentralizado; que favorece la articulación del transporte intermodal, la conectividad entre centros de producción y de consumo, para la generación de redes productivas y la integración regional y Territorial en el país","El Instituto Nacional de Vías, Invías, tendrá como objeto la ejecución de las políticas, estrategias, planes, programas y proyectos de la infraestructura no concesionada de la Red Vial Nacional de carreteras primaria y terciaria, férrea, fluvial y de la infraestructura marítima, de acuerdo con los lineamientos dados por el Ministerio de Transporte",781242000,78124200,43742086136009,2018-01-03 22:38:36.197000000,Octubre,CO1.APPNA.63342609.114347398,V1.81101500,74935687,2019-01-04 00:00:00,533,IP-DT-CAU-008-2018,IP-DT-CAU-008-2018,2018-01-03 22:38:36.197000000,CCE-10-Minima_Cuantia,Juan José Oyuela Soler,V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,V1.81000000,"Servicios Basados en Ingeniería, Investigación y Tecnología"
2018,CO1.APP.353312,INSTITUTO NACIONAL DE VIAS,800215807,CO-DC-11001,Distrito Capital de Bogotá,"La misión del INVIAS, es ejecutar políticas, estrategias, planes, programas y proyectos de infraestructura de la Red Vial carretera, férrea, fluvial y marítima, de acuerdo con los lineamientos dados por el Gobierno Nacional. Para el 2030 el INVIAS será reconocido por su liderazgo en la ejecución de infraestructura vial, con procesos de innovación tecnológica y un enfoque descentralizado; que favorece la articulación del transporte intermodal, la conectividad entre centros de producción y de consumo, para la generación de redes productivas y la integración regional y Territorial en el país","El Instituto Nacional de Vías, Invías, tendrá como objeto la ejecución de las políticas, estrategias, planes, programas y proyectos de la infraestructura no concesionada de la Red Vial Nacional de carreteras primaria y terciaria, férrea, fluvial y de la infraestructura marítima, de acuerdo con los lineamientos dados por el Ministerio de Transporte",781242000,78124200,43742086136009,2018-01-03 22:38:36.197000000,Octubre,CO1.APPNA.63342609.114347398,V1.81101500,74935687,2019-01-04 00:00:00,533,IP-DT-CAU-008-2018,IP-DT-CAU-008-2018,2018-01-03 22:38:36.197000000,CCE-10-Minima_Cuantia,Juan José Oyuela Soler,V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,V1.81000000,"Servicios Basados en Ingeniería, Investigación y Tecnología"
2018,CO1.APP.353312,INSTITUTO NACIONAL DE VIAS,800215807,CO-DC-11001,Distrito Capital de Bogotá,"La misión del INVIAS, es ejecutar políticas, estrategias, planes, programas y proyectos de infraestructura de la Red Vial carretera, férrea, fluvial y marítima, de acuerdo con los lineamientos dados por el Gobierno Nacional. Para el 2030 el INVIAS será reconocido por su liderazgo en la ejecución de infraestructura vial, con procesos de innovación tecnológica y un enfoque descentralizado; que favorece la articulación del transporte intermodal, la conectividad entre centros de producción y de consumo, para la generación de redes productivas y la integración regional y Territorial en el país","El Instituto Nacional de Vías, Invías, tendrá como objeto la ejecución de las políticas, estrategias, planes, programas y proyectos de la infraestructura no concesionada de la Red Vial Nacional de carreteras primaria y terciaria, férrea, fluvial y de la infraestructura marítima, de acuerdo con los lineamientos dados por el Ministerio de Transporte",781242000,78124200,43742086136009,2018-01-03 22:38:36.197000000,Octubre,CO1.APPNA.63342609.114347398,V1.81101500,74935687,2019-01-04 00:00:00,533,IP-DT-CAU-008-2018,IP-DT-CAU-008-2018,2018-01-03 22:38:36.197000000,CCE-10-Minima_Cuantia,Juan José Oyuela Soler,V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,V1.81000000,"Servicios Basados en Ingeniería, Investigación y Tecnología"
2018,CO1.APP.353312,INSTITUTO NACIONAL DE VIAS,800215807,CO-DC-11001,Distrito Capital de Bogotá,"La misión del INVIAS, es ejecutar políticas, estrategias, planes, programas y proyectos de infraestructura de la Red Vial carretera, férrea, fluvial y marítima, de acuerdo con los lineamientos dados por el Gobierno Nacional. Para el 2030 el INVIAS será reconocido por su liderazgo en la ejecución de infraestructura vial, con procesos de innovación tecnológica y un enfoque descentralizado; que favorece la articulación del transporte intermodal, la conectividad entre centros de producción y de consumo, para la generación de redes productivas y la integración regional y Territorial en el país","El Instituto Nacional de Vías, Invías, tendrá como objeto la ejecución de las políticas, estrategias, planes, programas y proyectos de la infraestructura no concesionada de la Red Vial Nacional de carreteras primaria y terciaria, férrea, fluvial y de la infraestructura marítima, de acuerdo con los lineamientos dados por el Ministerio de Transporte",781242000,78124200,43742086136009,2018-01-03 22:38:36.197000000,Octubre,CO1.APPNA.63342609.114347398,V1.81101500,74935687,2019-01-04 00:00:00,533,IP-DT-CAU-008-2018,IP-DT-CAU-008-2018,2018-01-03 22:38:36.197000000,CCE-10-Minima_Cuantia,Juan José Oyuela Soler,V1.81101500,Ingeniería civil,V1.81100000,Servicios profesionales de ingeniería,V1.81000000,"Servicios Basados en Ingeniería, Investigación y Tecnología"
2018,CO1.APP.350108,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE,830115395,CO-DC-11001,Distrito Capital de Bogotá,"MISIÓN Ser la entidad pública encargada de definir la política Nacional Ambiental y promover la recuperación, conservación, protección, ordenamiento, manejo, uso y aprovechamiento de los recursos naturales renovables, a fin de asegurar el desarrollo sostenible y garantizar el derecho de todos los ciudadanos a gozar y heredar un ambiente sano. VISIÓN A 2020 el Ministerio de Ambiente y Desarrollo Sostenible fomentará el desarrollo sostenible del país, a través de la consolidación de un marco de política y gobernabilidad para el ordenamiento integral del territorio, cambio climático, la conservación y uso sostenible del capital natural, marino y continental y el mejoramiento de la calidad ambiental a partir del fortalecimiento del desempeño ambiental de los sectores productivos, y será líder de la educación ambiental y articulador entre el sector productivo y los diferentes actores para la implementación y seguimiento a las políticas y lineamientos ambientales.",Gestión Ambiental y del riesgo de desastre,351558900,35155890,50531571940,2018-01-04 23:29:18.477000000,Julio,CO1.APPNA.51106046.113277693,V1.77101700,21000000,2019-01-04 00:00:00,140,CD 467 2018,CD 467 2018,2018-01-04 23:29:18.477000000,CCE-16-Servicios_profesionales_gestion,Gustavo Adolfo Alvarez Torres,V1.77101700,Servicios de asesoría ambiental,V1.77100000,Gestión medioambiental,V1.77000000,Servicios Medioambientales
2018,CO1.APP.350028,RADIO TELEVISION NACIONAL DE COLOMBIA.,900002583,CO-DC-11001,Distrito Capital de Bogotá,"Misión
Somos una empresa que gestiona contenidos de calidad y garantiza su disponibilidad y circulación, con el propósito de formar, informar, entretener y fortalecer la  ciudadanía.

Visión
En el 2018 seremos parte activa de la sociedad del conocimiento, promoviendo los valores culturales y democráticos por medio de contenidos de calidad con una empresa convergente, sólida y de vanguardia","Principios
1. Compromiso con lo público y la ciudadanía donde prime el bien general sobre el particular

2. Generación de entornos virtuosos

3. Reconocimiento de la diversidad

4. Compromiso con la memoria audiovisual y sonora

5. Innovación permanente

Valores
Comunicar
Respeto
Eficiencia
Transparencia
Solidaridad
Responsabilidad
Perseverancia
Integridad 
Probidad",351558900,35155890,790777686361,2018-01-05 01:22:00.430000000,Marzo,CO1.APPNA.47646510.113526302,V1.83111800,768843120,2018-12-28 00:00:00,322,IA No. 03 de 2018,IA No. 03 de 2018,2018-01-05 01:22:00.430000000,CCE-11-Procedimiento_Publicidad,Claudia Milena Fernandez,V1.83111800,Servicios de televisión,V1.83110000,Servicios de medios de telecomunicaciones,V1.83000000,Servicios Públicos y Servicios Relacionados con el Sector Público
2019,CO1.APP.535016,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTIÓN PENSIONAL Y CONTRIBUCIONES PARAFISCALES DE LA PROTECCIÓN SOCIAL UGPP,900373913,CO-DC-11001,Distrito Capital de Bogotá,"Misión: Generar una mejor experiencia del ciudadanos con la Unidad por Atender las solicitudes pensionales en forma clara, oportuna y de acuerdo con la Ley, y consolidar una cultura de cumplimiento frente al Sistema de la Protección Social,  donde los obligados y sus familias sean y se sientan grandes beneficiados.
Visión: En el 2022 La Unidad será reconocida como un modelo de entidad pública íntegra, por atender todas las solicitudes pensionales oportunamente y por determinar que la tasa de evasión estimada frente al SPS se sitúe en niveles inferiores al 5%.","La UGPP tiene principalmente los siguientes objetivos misionales: el  reconocimiento de derechos pensionales causados a cargo de administradoras del Régimen de Prima Media del orden nacional, y de las entidades públicas del orden nacional que hayan tenido a su cargo el reconocimiento de pensiones, respecto de las cuales se haya decretado o se decrete su  liquidación; y las tareas de seguimiento, colaboración y  determinación de la adecuada, completa y oportuna liquidación y pago de las contribuciones parafiscales de la Protección Social.. La entidad cuenta con sedes en Bogotá y tres Puntos de Atención Virtual en Barranquilla, Medellín y Cali. Todas las compras se centralizan en Bogotá.",372652200,37265220,139659139325,2019-02-01 02:47:58.323000000,Diciembre,CO1.APPNA.88711106.160896138,V1.56101519,8360940,2019-12-13 00:00:00,31,MIN.028-2019,MIN.028-2019,2019-02-01 02:47:58.323000000,CCE-10-Minima_Cuantia,Víctor Andrés Rodríguez Estrada,V1.56101519,Mesas,V1.56101500,Muebles,V1.56100000,Muebles de alojamiento
2019,CO1.APP.500110,GRUPO AEREO DEL CASANARE,900268092,CO-CAS-85001,Casanare,"MISION Ejecutar Operaciones Aéreas para contribuir a la Defensa de la Soberanía, la independencia e integridad Territorial, del orden Constitucional y logros de fines del Estado. VISION El Grupo Aéreo del Casanare se proyecta al año 2019 como Comando Aéreo de Combate, con el fin de continuar y afianzar su labor como Unidad Operativa líder en el poder aéreo del Nororiente de la Nación, determinante en la defensa de la soberanía y contundente en su acción sobre cualquier enemigo interno y externo, desarrollada tecnológicamente; enmarcada en el respeto de los DDHH Y DIH.","Responder por el sistema de Gestión implementando para desarrollar la misión con eficacia, eficiencia y efectividad que permita el logros de los estratégicos propuestos para la alcanzar la Visión.",828116000,82811600,2530213827,2019-01-09 16:27:47.837000000,Febrero,CO1.APPNA.69119377.153348806,V1.12164201,7283190,2019-10-04 00:00:00,13,007-00-S-GACAS-ESTEC-2019,007-00-S-GACAS-ESTEC-2019,2019-01-09 16:27:47.837000000,CCE-07-Seleccion_Abreviada_Subasta,TC LUIS ANTONIO GELVEZ DIAZ,V1.12164201,Inhibidores anti  corrosión,V1.12164200,Retardadores,V1.12160000,Aditivos
2019,CO1.APP.542304,ALCALDIA MUNICIPAL FUSAGASUGA,890680008,CO-CUN-25290,Cundinamarca,"MISION La Alcaldía de Fusagasugá tiene como propósito brindar seguridad, desarrollo económico, bienestar social a la comunidad prestando servicios con calidad, a través del manejo eficiente de los recursos humanos, económicos, físicos y naturales; estandarización de procesos y mejoramiento continuo; principios de transparencia, factores de calidez, amabilidad y criterios de efectividad, que permitan crear una cultura ciudadana basada en el sentido de pertenencia por la Ciudad. 

VISION En el 2025 a través del desarrollo integral de los individuos de nuestra comunidad, el municipio de Fusagasugá será un modelo de ciudad por sus altos estándares de calidad de vida, consolidándose como centro articulador de la provincia del Sumapaz y eje fundamental para la región capital, con un desarrollo ordenado de su territorio, reconocida por la prestación de servicios especializados, gracias a la apropiación de la ciencia y la tecnología en sus procesos productivos, al uso sostenible de su capital natural, a un talento humano calificado y emprendedor y a las óptimas vías de conexión dentro de la provincia y los mercados nacionales","En el 2025 a través del desarrollo integral de los individuos de nuestra comunidad, el municipio de Fusagasugá será un modelo de ciudad por sus altos estándares de calidad de vida, consolidándose como centro articulador de la provincia del Sumapaz y eje fundamental para la región capital, con un desarrollo ordenado de su territorio, reconocida por la prestación de servicios especializados, gracias a la apropiación de la ciencia y la tecnología en sus procesos productivos, al uso sostenible de su capital natural, a un talento humano calificado y emprendedor y a las óptimas vías de conexión dentro de la provincia y los mercados nacionales",372652200,37265220,72011520856,2019-01-03 23:20:21.603000000,Mayo,CO1.APPNA.68881796.162208594,V1.53102705,35000000,2020-01-10 00:00:00,118,MC 2019-0400,MC 2019-0400,2019-01-03 23:20:21.603000000,CCE-10-Minima_Cuantia,DANEYI MARTÍNEZ HERRERA-DIRECTORA DE CONTRATACIÓN,V1.53102705,Uniformes de colegio,V1.53102700,Uniformes,V1.53100000,Ropa
2018,CO1.APP.338104,ALCALDÍA LOCAL DE CHAPINERO - FONDO DE DESARROLLO LOCAL,899999061,CO-DC-11001,Distrito Capital de Bogotá,"Mision: 
Lideramos la articulación eficiente y efectiva de las autoridades distritales para mejorar la calidad de vida de todos los bogotanos.
Garantizamos la convivencia pacífica y el cumplimiento de la ley en el Distrito Capital, protegiendo los derechos y promoviendo los deberes de los ciudadanos.
Servimos a todos los bogotanos y promovemos una ciudadanía activa y responsable.

Visión:
La Secretaría Distrital de Gobierno, será en el 2020 la entidad líder en la articulación de un gobierno democrático, efectivo y confiable para la ciudadanía, reconocida por su modelo de buen gobierno, gestión por sus resultados, innovación institucional.","El Plan Anual de Adquisiciones de la Alcaldía Local de Chapinero está conformado a partir del Plan de Desarrollo Local Chapinero Mejor para Todos; el cual tiene tres pilares y dos ejes transversales: 

Pilar 1: Igualdad de calidad de vida
Pilar 2: Democracia urbana
Pilar3: Construcción de comunidad
Eje transversal 1: Sostenibilidad ambiental basada en la eficiencia energética
Eje transversal 2: Gobierno legítimo y eficiente

La sede de la entidad se encuentra ubicada en la localidad de Chapinero de la ciudad de Bogotá; sus acciones se desarrollan en el territorio comprendido entre la calle 39 y la calle 100 y los Cerros Orientales y la Avenida Caracas. A la fecha se cuenta con 100 funcionarios públicos y contratistas. El presupuesto para la vigencia 2018 corresponde a la suma de $18.555.195.000",218747760,21874776,35665211526,2018-01-04 19:05:23.033000000,Enero,CO1.APPNA.42545536.109341339,V1.80111700,17808000,2018-12-04 00:00:00,79,CPS-051-2018,CPS-051-2018,2018-01-04 19:05:23.033000000,CCE-16-Servicios_profesionales_gestion,Alexandra Martínez Romero,V1.80111700,Reclutamiento de personal,V1.80110000,Servicios de recursos humanos,V1.80000000,"Servicios de Gestión, Servicios Profesionales de Empresa y Servicios Administrativos"
