,nit,entidad_matriz,year,entidad,localizacion,localizacion_desc,mision_vision,pers_estrategica,ppto_global,mes_proyectado,precio_base,date_last_publication,ref_contrato,date_publised,modalidad,contacto,cod_producto,nombre_producto,cod_clase,nombre_clase,cod_familia,nombre_familia,diff_dates,year_publised,rango_precio
233,800063823,EMPRESAS PUBLICAS DEL QUINDIO SA ESP,2019,EMPRESAS PUBLICAS DEL QUINDIO SA ESP,CO-QUI-63001,Quindío,"MISIÓN Empresas Públicas del Quindío, EPQ SA ESP, es una empresa que existe para contribuir a la vida y al bienestar de la comunidad de la región donde ejerce su actividad, a través de la prestación de servicios públicos domiciliarios de Acueducto, Alcantarillado y Gas que cumplen altos estándares de calidad, continuidad, cantidad y cobertura, labores ejercidas con responsabilidad social y ambiental, dando aplicación a la normatividad vigente y a los principios de neutralidad, solidaridad, distribución, simplicidad y transparencia. 
VISIÓN En los próximos cuatro años, Empresas Públicas del Quindío, EPQ SA ESP, continuara siendo una empresa sostenible y sólida financieramente, que será reconocida en la región por el cumplimiento exitoso e innovador de su propuesta de valor relacionada con la prestación de servicios públicos domiciliarios de Acueducto, Alcantarillado y Gas que satisfacen plenamente a la comunidad beneficiaria, logrados a través de trabajadores competentes y de gran calidad humana que ven soportada su labor en procesos estandarizados y eficaces y en una infraestructura física y tecnológica que evoluciona continuamente ante los cambios del entorno y ante las necesidades y expectativas de sus clientes.","Ejecutar alternativas de acción que logren llevar a la empresa hacia la excelencia y la competitividad fortaleciendo los servicios públicos domiciliarios para el departamento del Quindío, posicionándose como la empresa líder en la prestación de los servicios públicos domiciliarios de agua potable, saneamiento básico y gas domiciliario operando bajo criterios de sostenibilidad, competitividad y respeto por el medio ambiente",11686350896,Enero,54169200.0,2019-02-01 00:30:00,P.S 023 DE 2019,2019-02-01 00:00:00,CCE-16-Servicios_profesionales_gestion,LINA MARCELA GRISALES GOMEZ,V1.43223301,Sistema y accesorios de conexión cruzada de comunicación de datos,V1.43223300,Dispositivos y equipos para instalación de conectividad de redes y Datacom,V1.43220000,Equipos o plataformas y accesorios de redes multimedia o de voz y datos,0,2019,43.827.961-81804454
362,800093816,DIRECCION EJECUTIVA DE ADMINISTRACION JUDICIAL,2019,Rama Judicial  Dirección Ejecutiva de Administración Judicial,CO-DC-11001,Distrito Capital de Bogotá,"MISION: Dar cumplimiento al mandato constitucional y legal de administrar justicia en forma independiente, desconcentrada y en igualdad de condiciones a todas las personas naturales y jurídicas en el territorio colombiano, a través de modelos de gestión integrales que respondan adecuada y oportunamente a la demanda de justicia en cada una de las jurisdicciones

VISION: En el año 2025 la Rama Judicial será reconocida a nivel nacional e internacional por su contribución a la sociedad mediante la celeridad en el desarrollo de los procesos judiciales, con decisiones justas y equitativas, acorde con los preceptos legales, respondiendo a las necesidades cambiantes del mundo y de la sociedad y se caracterizará por el compromiso, el respeto a la ciudadanía, la cultura de servicio, la coordinación interinstitucional y el profesionalismo de los servidores judiciales, todo ello soportado con tecnología de punta y una adecuada infraestructura física que permita la satisfacción de la demanda de justicia.","Garantizar la publicidad, concurrencia y participación de oferentes, con el fin de satisfacer la adquisición de bienes y servicios con eficiencia y eficacia para una pronta y oportuna administración de justicia.",271627572050,Septiembre,730000000.0,2019-12-13 00:00:00,SA 08 DE 2019,2019-01-31 00:00:00,CCE-06-Seleccion_Abreviada_Menor_Cuantia,Carlos Julio Modesto Castellanos,V1.81112205,Mantenimiento de software de sistemas de gestión de bases de datos,V1.81112200,Mantenimiento y soporte de software,V1.81110000,Servicios informáticos,316,2019,81804454-2.9550.000.000
847,800103663,MUNICIPIO DE SACAMA,2019,MUNICIPIO DE SACAMA,CO-CAS-85315,Casanare,"MISION: Direccionar la gestión del Municipio como entidad territorial planificadora de su propio desarrollo, a través de la participación activa de la comunidad, el sector privado y el sector público, para la adecuada utilización de su capital social, ambiental y económico, optimizando el uso de los recursos públicos. 
VISIÓN: Sácama se consolidará como un municipio de oferta turística regional, con vocación productiva agropecuaria e industrial; que incentivará el crecimiento económico mediante el trabajo asociativo, fortaleciendo la identidad cultural y promoviendo la conservación de la riqueza ambiental.","El Plan Anual de Adquisiciones es un documento de naturaleza informativa y las adquisiciones incluidas en el mismo pueden ser canceladas, revisadas o modificadas. Esta información no representa compromiso u obligación alguna por parte de la entidad estatal ni la compromete a adquirir los bienes, obras y servicios en él señalados.",1933451706,Febrero,20000000.0,2019-02-11 00:00:00,AS-CON-003-2019,2019-01-31 00:00:00,CCE-16-Servicios_profesionales_gestion,JIMENA RUIZ VELOZA,V1.77101801,Sistemas de información ambiental,V1.77101800,Auditoría ambiental,V1.77100000,Gestión medioambiental,11,2019,0-21.000.000
17964,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,19090000.0,2019-12-21 00:00:00,DTSC-CD-89-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,358,2018,0-21.000.000
17997,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,19920000.0,2019-12-21 00:00:00,DTSC-CD-27-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,358,2018,0-21.000.000
18018,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,19090000.0,2019-12-21 00:00:00,DTSC-CD-101-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,358,2018,0-21.000.000
18038,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,19090000.0,2019-12-21 00:00:00,DTSC-CD-098-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,358,2018,0-21.000.000
18088,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,19920000.0,2019-12-21 00:00:00,DTSC-CD-026-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,358,2018,0-21.000.000
18121,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,38640000.0,2019-12-21 00:00:00,DTSC-CD-030-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.81111700,Sistemas de manejo de información MIS,V1.81110000,Servicios informáticos,V1.81000000,"Servicios Basados en Ingeniería, Investigación y Tecnología",358,2018,21.000.001-43.827.960
18130,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,38640000.0,2019-12-21 00:00:00,DTSC-CD-35-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.81111700,Sistemas de manejo de información MIS,V1.81110000,Servicios informáticos,V1.81000000,"Servicios Basados en Ingeniería, Investigación y Tecnología",358,2018,21.000.001-43.827.960
