,0,1
233,0.004255137607622591,-9.997489349585715e-05
362,-1.2821144261300403e-05,-2.0676783964988294e-05
847,0.0003979537287393251,0.00010875774250186753
17964,8.89428163753765e-05,0.00015056420890047095
17997,8.470011076758927e-05,0.0001433820882128277
18018,8.89428163753765e-05,0.00015056420890047095
18038,8.89428163753765e-05,0.00015056420890047095
18088,8.470011076758927e-05,0.0001433820882128277
18121,6.961699093684088e-05,0.00014521207423964246
18130,6.961699093684088e-05,0.00014521207423964246
18135,7.681968142247907e-05,0.00013004196993473066
18143,6.934453112367917e-05,0.00011738791458247772
18160,8.89428163753765e-05,0.00015056420890047095
18168,8.470011076758927e-05,0.0001433820882128277
18174,0.0011696986919571312,0.0006999910637101406
18181,5.816459110052097e-05,9.846233125198272e-05
18183,9.061676603264701e-05,0.00018772594335739298
18190,6.462338347767618e-05,0.00010939587947272588
18198,8.470011076758927e-05,0.0001433820882128277
18213,6.934453112367917e-05,0.00011738791458247772
18243,9.357122242959447e-05,0.00015839924954335672
18286,6.961699093684088e-05,0.00014521207423964246
18290,0.000671844556415081,0.00019580484443257806
18315,6.934453112367917e-05,0.00011738791458247772
20368,-1.2882119560257238e-05,-2.1806659601043846e-05
21345,-1.2842096636797253e-05,-2.1064951290753256e-05
21452,-1.2842096636797253e-05,-2.1064951290753256e-05
31990,0.00014776564476265842,0.00025014044437873865
32025,0.00014776564476265842,0.00025014044437873865
32033,0.00019680912539747525,0.00033316204177989754
32038,0.00019680912539747525,0.00033316204177989754
32123,0.00012842111768558936,0.00021739371600383396
34071,-1.2704047599234235e-05,-1.8507340923347046e-05
34132,-1.2457972946958056e-05,-2.1088696362884096e-05
34392,-1.2882128102950725e-05,-2.180667665330721e-05
34397,-1.2457972946958056e-05,-2.1088696362884096e-05
34517,-1.2457972946958056e-05,-2.1088696362884096e-05
35199,-1.2457972946958056e-05,-2.1088696362884096e-05
38541,-1.288212403009101e-05,-2.1806693292164256e-05
41333,-1.2882107859460395e-05,-2.1806563351177344e-05
41351,-6.916006977812596e-06,-1.949523198422971e-05
42002,-1.2882131816860861e-05,-2.1806702806300096e-05
42315,-1.2882132843330128e-05,-2.1806709697115292e-05
42467,0.00012062343835922751,4.306499396545062e-05
42630,-1.2882133318125368e-05,-2.1806712754628323e-05
42642,0.00012062343835922751,4.306499396545062e-05
42662,-4.159346136862769e-06,-4.147490932087509e-06
64544,0.0002456997885810665,0.007995095680735325
64554,-9.838827663506243e-06,0.00011834619433402139
64693,0.0002456997885810665,0.007995095680735325
64712,0.0002456997885810665,0.007995095680735325
64719,0.004941185158996216,0.0018685345069780071
64904,-1.2882122145485845e-05,-2.1806626421555277e-05
65127,-1.2882130312341814e-05,-2.1806675846887994e-05
66797,-1.2732735887465164e-05,-1.9038816816717562e-05
66964,-1.2732735887465164e-05,-1.9038816816717562e-05
67304,-1.2882132617405525e-05,-2.1806717564452126e-05
67563,-1.2882132854303208e-05,-2.1806716544138014e-05
69591,-1.2882128510431537e-05,-2.180669633759718e-05
69724,-1.2882105359695636e-05,-2.180659763414189e-05
70445,-1.2882128427020691e-05,-2.1806693810346036e-05
70589,8.671160963249334e-05,0.0030659343636666855
71059,-9.645344502960357e-06,-1.135664834945951e-05
71128,-9.099998590587345e-06,-9.595983606994e-06
71131,2.0273658593834244e-05,3.4319273144214516e-05
71176,-9.171250785765194e-06,-9.826023339623566e-06
